#,Date-time,Nest,Ambient
5021,09/10/11 06:57:44 PM,36.987,20.793
5022,09/10/11 06:58:44 PM,36.633,20.77
5023,09/10/11 06:59:44 PM,36.552,20.77
5024,09/10/11 07:00:44 PM,36.633,20.865
5025,09/10/11 07:01:44 PM,36.715,20.841
5026,09/10/11 07:02:44 PM,36.498,20.913
5027,09/10/11 07:03:44 PM,36.552,20.77
5028,09/10/11 07:04:44 PM,36.824,20.817
5029,09/10/11 07:05:44 PM,36.878,20.841
5030,09/10/11 07:06:44 PM,36.96,20.936
5031,09/10/11 07:07:44 PM,36.987,20.936
5032,09/10/11 07:08:44 PM,36.933,20.889
5033,09/10/11 07:09:44 PM,36.905,20.817
5034,09/10/11 07:10:44 PM,36.769,20.865
5035,09/10/11 07:11:44 PM,36.796,20.841
5036,09/10/11 07:12:44 PM,36.824,20.889
5037,09/10/11 07:13:44 PM,36.715,20.96
5038,09/10/11 07:14:44 PM,36.688,20.817
5039,09/10/11 07:15:44 PM,36.715,20.817
5040,09/10/11 07:16:44 PM,36.769,20.865
5041,09/10/11 07:17:44 PM,36.498,20.936
5042,09/10/11 07:18:44 PM,36.633,20.984
5043,09/10/11 07:19:44 PM,36.715,20.984
5044,09/10/11 07:20:44 PM,36.579,20.913
5045,09/10/11 07:21:44 PM,36.362,21.056
5046,09/10/11 07:22:44 PM,36.498,20.865
5047,09/10/11 07:23:44 PM,36.308,20.96
5048,09/10/11 07:24:44 PM,36.471,20.984
5049,09/10/11 07:25:44 PM,36.688,20.936
5050,09/10/11 07:26:44 PM,36.552,21.008
5051,09/10/11 07:27:44 PM,36.769,20.936
5052,09/10/11 07:28:44 PM,36.933,20.865
5053,09/10/11 07:29:44 PM,36.905,20.96
5054,09/10/11 07:30:44 PM,36.96,20.865
5055,09/10/11 07:31:44 PM,36.824,20.936
5056,09/10/11 07:32:44 PM,36.987,20.913
5057,09/10/11 07:33:44 PM,36.824,21.103
5058,09/10/11 07:34:44 PM,36.824,20.936
5059,09/10/11 07:35:44 PM,36.878,20.936
5060,09/10/11 07:36:44 PM,36.905,20.889
5061,09/10/11 07:37:44 PM,36.742,20.96
5062,09/10/11 07:38:44 PM,36.796,20.936
5063,09/10/11 07:39:44 PM,36.715,20.936
5064,09/10/11 07:40:44 PM,36.254,20.865
5065,09/10/11 07:41:44 PM,35.77,20.913
5066,09/10/11 07:42:44 PM,36.039,20.913
5067,09/10/11 07:43:44 PM,36.146,20.936
5068,09/10/11 07:44:44 PM,36.281,20.913
5069,09/10/11 07:45:44 PM,36.173,20.936
5070,09/10/11 07:46:44 PM,36.2,20.913
5071,09/10/11 07:47:44 PM,36.281,20.865
5072,09/10/11 07:48:44 PM,36.362,20.865
5073,09/10/11 07:49:44 PM,36.552,20.841
5074,09/10/11 07:50:44 PM,36.579,20.96
5075,09/10/11 07:51:44 PM,36.389,20.913
